Truck ID,Cluster Number,Count Occurence
 7606BUSPFE,2,3
 763IG6SPFE,0,1
 763IG6SPFE,2,2
 7677SPULXI,19,2
 76F4S6P4GU,18,1
 76F4S6P4GU,3,3
 76F4S6P4GU,8,2
 76LPS1B4GU,2,3
 76LPS1B4GU,9,1
 76P4XUB7SI,18,1
 76P4XUB7SI,3,6
 76P4XUB7SI,8,2
 7775S1B4GU,0,5
 7775S1B4GU,17,3
 7775S1B4GU,2,1
 779S4IXLGU,0,11
 779S4IXLGU,30,1
 77F14GLXSU,0,6
 77F14GLXSU,18,1
 77F14GLXSU,2,1
 77F63U6PSI,0,12
 77F63U6PSI,2,5
 77PS9IXLGU,0,4
 77PS9IXLGU,10,6
 77PS9IXLGU,19,1
 7844S1B4GU,10,1
 7844S1B4GU,2,1
 7844S1B4GU,3,6
 784B4U6PSI,9,4
 785UGS3LBI,0,5
 785UGS3LBI,8,1
 78I5S1B4GU,0,3
 78I5S1B4GU,2,4
 78PSGFL8BI,0,6
 78PSGFL8BI,19,1
 78PSGFL8BI,2,1
 79GUX16PSI,0,2
 79GUX16PSI,7,1
 7B471SP4GU,0,4
 7B67S6P4GU,10,3
 7B67S6P4GU,3,8
 7F1794LXSU,0,4
 7F2737LSUI,0,6
 7F674U6PSI,0,10
 7F831BLSUI,15,1
 7FS8IBP4GU,2,4
 7GFUX7B7SI,3,1
 7GX64U6PSI,1,6
 7GX64U6PSI,2,2
 7ISX51B4GU,0,9
 7L3SIBP4GU,0,14
 7L3SIBP4GU,27,4
 7L67S6P4GU,2,3
 7L67S6P4GU,3,1
 7L7UX16PSI,18,1
 7LI4S1B4GU,2,4
 7LI4S1B4GU,3,2
 7LPIS1B4GU,0,1
 7LS51FB4GU,0,3
 7P1GX7B7SI,0,4
 7P1GX7B7SI,15,2
 7PF994LXSU,0,10
 7PF994LXSU,18,2
 7PLIS1B4GU,0,8
 7PS9X0U2FE,0,1
 7PS9X0U2FE,2,1
 7S6X6BP4GU,18,2
 7S6X6BP4GU,3,1
 7SF4LXP4GU,0,2
 7SF4LXP4GU,17,1
 7SF4LXP4GU,18,1
 7SF4LXP4GU,2,1
 7SIX51B4GU,0,3
 7SL1303FPI,0,3
 7SL1303FPI,10,3
 7SL1303FPI,2,3
 7U76X16PSI,3,4
 7X1P37LSUI,4,5
 8002BI4UFE,2,1
 8002BI4UFE,25,1
 80151FB4GU,10,1
 80151FB4GU,27,1
 80151FB4GU,3,1
 80151FB4GU,8,1
 808S808FUB,11,3
 817IS1B4GU,0,1
 817IS1B4GU,25,1
 818F4BP4GU,3,1
 818F4BP4GU,4,2
 818S808FUB,1,3
 818S808FUB,27,2
 81S6P1B4GU,0,8
 81S6P1B4GU,6,1
 844U7PSFBI,0,5
 8462PU12LB,0,3
 8462PU12LB,17,2
